EMG,english,Functional Name,Image URL,Short Marketing Text,USP,Colors,Pack Sizes,Safety,Utilizare,Preg?tirea suprafe?elor,Preg?tirea produsului,Aplicare,Uscare,Depozitare,Consumption,Yield,Recommended System,Marketing Text,TDS (PDF),Other Documents,Source URL
,OSKAR Ceramic Mat,OSKAR Ceramic Mat,https://www.oskarvopsea.ro/kentico/getmedia/ff03c0aa-3a02-4828-9591-69c07c8e6690/OKR739_OSKAR-CERAMIC-ULTRA-LAV-MAT-DISP-INT-ALB-15L_5946062020523.png,Vopsea ultralavabil? pentru interior/exterior,"Ultra-lavabil
Anti-urme negre de contact
Se spal? cu ap? ?i detergent
Peretele respir?
Aspect mat, catifelat",,"alb: 2.5L, 8.5L, 15L baz? transparent?: 2.5L, 8.5L",,"Se recomand? pentru vopsirea suprafe?elor interioare/exterioare gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei înainte de aplicare.
Primul strat de vopsea se aplic? diluat cu maxim 5% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic? nediluat cel de-al doilea strat. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore.  Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de  absorbabilitate al acestuia.",,,0.083 L/m²/strat,12 m²/L/strat,"1 strat OSKAR Amors? ZeroMucegai;
2 straturi finisaj OSKAR Ceramic Mat","Cele mai frecvent întâlnite pete: urmele de mâini, marker sau creion, vin, ketchup, ulei sau cafea se ?terg perfect doar cu ap? ?i detergent de pe peretele vopsit cu Oskar Ceramic;
Confer? siguran??, protec?ie ?i economie pe termen lung, nemaifiind nevoie de o nou? zugr?veal? când peretele s-a murd?rit. Printr-o simpl? sp?lare acesta redevine ca nou;
Este ultrarezistent?, putând fi folosit? atât la interior, cât ?i la exterior;
Este special destinat? acelor zone cu risc mare de murd?rire din locuin??: holurile cu trafic intens, camerele de copii, buc?t?riile, etc.;
Are un aspect mat, catifelat.",OSKAR Ceramic Mat: https://www.oskarvopsea.ro/kentico/getmedia/fe0bfb38-5d3d-4b1d-90ef-e8f06e3cb64a/OSKAR-Ceramic-Ultra-lavabil-Mat.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Ceramic-Mat
,OSKAR Ceramic Satin,OSKAR Ceramic Satin,https://www.oskarvopsea.ro/kentico/getmedia/2dd0f774-a130-40c7-bef6-5b532591f9fb/OKR739_OSKAR-CERAMIC-SATIN-DISP-INT-ALB-15L_5946062012511.png,Vopsea ultralavabil? pentru interior/exterior,"Ultra-lavabil
Anti-urme negre de contact
Se spal? cu ap? ?i detergent
Peretele respir?
Aspect satinat, m?t?sos",,"alb: 2.5L, 8.5L, 15L baz? transparent?: 2.5L, 8.5L",,"Se recomand? pentru vopsirea suprafe?elor interioare/exterioare gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei înainte de aplicare.
Primul strat de vopsea se aplic? diluat cu maxim 5% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic? nediluat cel de-al doilea strat. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore.  Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de  absorbabilitate al acestuia.",,,0.083 L/m²/strat,12 m²/L/strat,"1 strat OSKAR ZeroMucegai
2 straturi finisaj OSKAR Ceramic Satin","Cele mai frecvent întâlnite pete: urmele de mâini, marker sau creion, vin, ketchup, ulei sau cafea se ?terg perfect doar cu ap? ?i detergent de pe peretele vopsit cu Oskar Ceramic;
Confer? siguran??, protec?ie ?i economie pe termen lung, nemaifiind nevoie de o nou? zugr?veal? când peretele s-a murd?rit. Printr-o simpl? sp?lare acesta redevine ca nou;
Este ultrarezistent?, putând fi folosit? atât la interior, cât ?i la exterior;
Este special destinat? acelor zone cu risc mare de murd?rire din locuin??: holurile cu trafic intens, camerele de copii, buc?t?riile, etc.;
Are un aspect satinat, elegant.",OSKAR Ceramic Satin: https://www.oskarvopsea.ro/kentico/getmedia/bacb1fba-57c7-4d20-abf8-ea6ea7dd61e2/OSKAR-Ceramic-Ultra-lavabil-Satin.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Ceramic-Satin
,OSKAR Ceramic Gloss,OSKAR Ceramic Lucios,https://www.oskarvopsea.ro/kentico/getmedia/8858f2bd-69d9-4215-a034-7d5697009b65/OKR739_OSKAR-CERAMIC-ULTRA-LAV-LUCIOS-DISP-INT-ALB-15L_5946062021896_1.png,Vopsea ultralavabil? pentru interior/exterior,"Ultra-lavabil
Anti-urme negre de contact
Se spal? cu ap? ?i detergent
Peretele respir?
Aspect lucios, elegant",,"alb: 2.5L, 8.5L, 15L",,"Se recomand? pentru vopsirea suprafe?elor interioare/exterioare gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei înainte de aplicare.
Primul strat de vopsea se aplic? diluat cu maxim 5% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic? nediluat cel de-al doilea strat. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore.  Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de  absorbabilitate al acestuia.",,,0.083 L/m²/strat,12 m²/L/strat,"1 strat OSKAR ZeroMucegai
2 straturi finisaj OSKAR Ceramic Lucios","Cele mai frecvent întâlnite pete: urmele de mâini, marker sau creion, vin, ketchup, ulei sau cafea se ?terg perfect doar cu ap? ?i detergent de pe peretele vopsit cu Oskar Ceramic;
Confer? siguran??, protec?ie ?i economie pe termen lung, nemaifiind nevoie de o nou? zugr?veal? când peretele s-a murd?rit. Printr-o simpl? sp?lare acesta redevine ca nou;
Este ultrarezistent?, putând fi folosit? atât la interior, cât ?i la exterior;
Are un aspect lucios, elegant.",OSKAR Ceramic Lucios: https://www.oskarvopsea.ro/kentico/getmedia/4e648b57-9f66-40d1-8219-685e7f57e96c/OSKAR-Ceramic-Ultra-lavabil-Lucios.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Ceramic-Lucios
,OSKAR Total,OSKAR Total,https://www.oskarvopsea.ro/kentico/getmedia/8ef4c561-ce8d-43ec-b4d8-eeb1392a9380/OSR765_OSKAR-TOTAL-5L.PNG,"Vopsea alb? pentru pere?i perfec?i, pentru interior/exterior","U?or de aplicat
Efect anti-bacterian
Acoperire din 1 strat
Ultralavabil?
Efect anti-mucegai
Miros proasp?t",,5L,,"Se recomand? pentru vopsirea suprafe?elor interioare/exterioare gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu Oskar Amorsa Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei înainte de aplicare cu OSKAR Pigment.
Vopseaua se aplic? nediluat?, într-un singur strat. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore. Pe suprafe?ele cu contraste extreme precum ?i pe suprafe?e exterioare se procedeaz? astfel: primul strat se aplic? diluat cu max. 10% ap?, se las? s? se usuce aprox. 2 ore (la 200C si 65% umiditate relativ? a aerului), dup? care se aplic? al doilea strat nediluat. Pentru aplicarea pe suprafe?e exterioare la temperaturi sc?zute ?i/sau umidit??i mai mari este nevoie de un timp de uscare mai îndelungat. Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.",,,0.1 L/m²/strat,10 m²/L/strat,"1 strat OSKAR  Amors? ZeroMucegai;
1 strat finisaj OSKAR Total","Trebuie s? fii exigent atunci când vine vorba de alegerea vopselei  potrivite pentru casa ta! Vopsirea pere?ilor reprezint? o investi?ie pe termen lung ?i doar alegerea celei mai bune vopsele î?i garanteaz? c? vei putea face fa?? cu brio la orice provocare;
Este o vopsea care poate fi folosit? în toat? casa, având siguran?a c? î?i va face perfect datoria, pân? la cap?t, f?r? nici un compromis;
Este o vopsea care, înc? de la aplicare, se întinde u?or ?i acoper? perfect, dintr-un singur  strat, ofer? un miros pl?cut, proasp?t camerei, diferit de cel chimic, obi?nuit, de vopsea. Pe termen lung ofer? protec?ie la mucegai ?i bacterii, astfel încât întreaga familie s? fie s?n?toas? ?i în siguran??. ?i foarte important, ofer? o extrarezisten?? la ?tergere, astfel încât petele accidentale nu vor mai fi un motiv de renovare. A?a creeaz? vopseaua Oskar Total pere?ii perfec?i;
Este preferat la lucr?rile cu preten?ii de superfinisaje: vile, apartamente de lux, ansambluri reziden?iale exclusiviste.",OSKAR Total: https://www.oskarvopsea.ro/kentico/getmedia/198c7048-f284-4ee5-a40e-6efc5eabae48/OSKAR-Total_2.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Total
,OSKAR SuperWeiss Super-washable Anti-Mold Matt,OSKAR SuperWeiss Super-lavabil Anti-mucegai MAT,https://www.oskarvopsea.ro/kentico/getmedia/11f7b47c-d888-48d2-9570-1ba89be6d1a5/OS187-P_OSK-SW-Anti-mucegai-MAT_4.PNG,Vopsea alb? super-lavabil? ?i anti-mucegai pentru interior,"Efect anti-mucegai
Super-lavabil?
Grad de alb excelent
Extra putere de acoperire
Aspect mat, catifelat",,"2.5L, 8.5L, 15L, 25L, 30L",Utiliza?i biocidele în siguran??. Citi?i întotdeauna eticheta ?i informa?iile despre produs înainte de utilizare.,"Se recomand? pentru vopsirea suprafe?elor interioare, pere?i sau tavane, gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?, tapet indicat a fi vopsit.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei inainte de aplicare cu OSKAR Pigment.
Primul strat de vopsea se aplic? diluat cu maxim 10% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic? nediluat cel de-al doilea strat. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore. Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i de gradul de  absorbabilitate al acestuia.",,,0.1 L/m2/strat,10 m2/L/strat,"1 strat OSKAR Amors? ZeroMucegai;
2 straturi finisaj OSKAR SuperWeiss","Efectul anti-mucegai este avizat de Ministerul S?n?t??ii-Institutul Na?ional De S?n?tate Public? Bucure?ti;
Lavabilitatea este una dintre cele mai importante caracteristici dorite de un consumator de la o vopsea, fiind asociat? doar cu vopseaua premium, de top calitate;
Petele de noroi, urmele de mâini din jurul prizelor ?i întrerup?toarelor se ?terg f?r? nici o problem? de pe perete, vopseaua ar?tând perfect, ca în prima zi;
Este de 15 ani în top 3 preferin?e de vopsea ale zugravilor profesioni?ti din România;
Este preferat? la lucr?rile cu preten?ii de finisaj super alb precum hoteluri, resturante, ansambluri ?i vile reziden?iale;
Are un aspect final mat, catifelat.",OSKAR SuperWeiss Mat: https://www.oskarvopsea.ro/kentico/getmedia/f7ed2279-9a82-4b98-a6de-7f0d7b91f2da/OSKAR-Superweiss-Super-Lavabil-Anti-mucegai-MAT.pdf?ext=.pdf,"AVIZ MIN S?N?T??II: https://www.oskarvopsea.ro/kentico/getmedia/b526f528-4adc-44c3-8082-5267c85d64c7/2-0-OSKAR-SuperWeiss-Anti-mucegai-2023-Aviz-MS.pdf?ext=.pdf
AVIZ DE EXTINDERE: https://www.oskarvopsea.ro/kentico/getmedia/a7c1e68c-4544-48a6-954c-d7489122529e/Ext-aviz-Oskar-Superweiss-interior-anti-mucegai.pdf?ext=.pdf",https://www.oskarvopsea.ro/ro-ro/products/OSKAR-SuperWeiss-Super-lavabil-Anti-mucegai
,OSKAR SuperWeiss Super-washable Mold-resistant Satin,OSKAR SuperWeiss Super-lavabil Rezistent la Mucegai SATIN,https://www.oskarvopsea.ro/kentico/getmedia/91b671d9-9ccb-4c64-889d-03fb3014fb22/OS187-P_OSK-SW-Anti-mucegai-SATIN.PNG,Vopsea alb? super-lavabil? ?i rezistent? la mucegai pentru interior,"Rezisten?? la mucegai
Super-lavabil?
Extra putere de acoperire
Aspect satinat, m?t?sos",,"2.5L, 8.5L, 15L, 25L",,"Se recomand? pentru vopsirea suprafe?elor interioare, pere?i sau tavane, gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?, tapet indicat a fi vopsit.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei inainte de aplicare cu OSKAR Pigment.
Primul strat de vopsea se aplic? diluat cu maxim 5% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic? nediluat cel de-al doilea strat. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore. Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i de gradul de  absorbabilitate al acestuia.",,,0.1 L/m2/strat,10 m2/L/strat,"1 strat OSKAR Amors? ZeroMucegai;
2 straturi finisaj OSKAR SuperWeiss Satin","Beneficieaz? de acelea?i caracteristici consacrate de lavabilitate, nivel de alb, rezisten?? la mucegai ?i putere de acoperire ca OSKAR SuperWeiss Super-lavabil Anti-mucegai;
Are un aspect final satinat, elegant.",OSKAR SuperWeiss Satin: https://www.oskarvopsea.ro/kentico/getmedia/92c1fdd5-941a-4da3-bbcd-f4703b642340/OSKAR-Superweiss-Super-Lavabil-Rezistent-la-Mucegai-Satin.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-SuperWeiss-Super-lavabil-Anti-mucegai-SATIN
,OSKAR 1 Coat,OSKAR 1 Strat,https://www.oskarvopsea.ro/kentico/getmedia/eaa3059b-a479-411e-ac5b-b092c8572409/OKR695_OSKAR-CREMA-1-STRAT-DISP-INT-ALB-15L_5946062007784.png,"Vopsea crem? cu acoperire eficient? dintr-un singur strat, alba, pentru interior","Acoper? perfect dintr-un singur strat
U?or de aplicat
Pelicul? fin?, f?r? dâre sau nade",,"5L, 15L",,"Se recomand? pentru vopsirea suprafe?elor interioare, pere?i sau tavane, gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?, tapet indicat a fi vopsit.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Vopseaua se aplic? cu rola (trafaletul), pensula sau prin pulverizare.
Pentru nuan?are se va colora vopseaua înainte de aplicare cu Oskar Pigment.
Vopseaua se aplic? nediluat?, într-un singur strat. Pe suprafe?ele cu contraste extreme se procedeaz? astfel: primul strat se aplic? diluat cu max. 5% ap?, se las? s? se usuce aprox. 2 ore, dup? care se aplic? al doilea strat diluat cu max. 10% ap?.  Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore. Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.",,,0.1 L/m²/strat,10 m²/L/strat,"1 strat OSKAR Amors? Zero Mucegai;
1 strat finisaj OSKAR 1 Strat.","Folosind OSKAR 1 Strat în locul unei vopsele obi?nuite cu acoperire în 2 straturi este foarte u?or s? economise?ti:
Bani: cu aceea?i cantitate de Oskar Crema 1 Strat acoperi perfect, dintr-un strat, de dou? ori mai mul?i m² decât cu o vopsea obi?nuit?, adic? pl?te?ti mai pu?in ?i acoperi mai mult!
Timp: pentru c? aplici doar 1 singur strat, termini totul mai repede, în timp record!
Este avizat Ecolabel de Ministerul Mediului din România, respectiv are un con?inut minim de substan?e periculoase ?i poluante pentru mediu;
Are un miros pl?cut ?i discret, deci se poate aplica f?r? probleme în spa?iile neaerisite, putându-se locui imediat în camera proasp?t vopsit?;
Este extrem de u?or de aplicat, fiind preferat atât de aplicatorii profesioni?ti, dar ?i de c?tre cei încep?tori, f?r? experien??;
Are o re?et? perfect? de produs, dezvoltat? împreun? cu zugravi profesioni?ti, participan?i la teste tehnice de aplicare;
Este preferat la lucr?rile cu preten?ii de superfinisaj: vile, apartamente de lux, ansambluri reziden?iale exclusiviste;
Este disponibil pentru colorare computerizat? - pentru mai multe detalii, contacta?i operatorii de la ma?ina de tinting.",OSKAR 1 Strat: https://www.oskarvopsea.ro/kentico/getmedia/5ad0e6b0-397f-4d8b-82e3-9c50f20e50e7/OSKAR-1-strat.pdf?ext=.pdf,Aviz Ecolabel: https://www.oskarvopsea.ro/kentico/getmedia/c8f797be-d0ee-404e-9247-e4c812efc606/Aviz-OSKAR-Crema-1-Strat_ro.pdf?ext=.pdf,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-1-Strat_
,OSKAR Bathroom & Kitchen,OSKAR Baie ?i Bucatarie,https://www.oskarvopsea.ro/kentico/getmedia/ee527ede-339c-4809-9d46-2a67d6a91a81/OKR753_D-OSKAR-BAIE-SI-BUCATARIE-DISP-INT-ALB-2-5L_5946062008477.png,Vopsea superlavabila alba pentru baie si bucatarie,"Efect anti-bacterian
Anti-mucegai
Permite respira?ia peretelui",,2.5L,Utiliza?i biocidele în siguran??. Citi?i întotdeauna eticheta ?i informa?iile despre produs înainte de utilizare.,"Se recomand? pentru vopsirea suprafe?elor interioare, pereti sau tavane, gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?, tapet indicat a fi vopsit.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei înainte de aplicare cu OSKAR Pigment.
Primul strat de vopsea se aplica diluat cu maxim 10% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic?  cel de-al doilea strat diluat cu 5% ap?. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore.  Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i de gradul de  absorbabilitate al acestuia.",,,0.1 L/m²/strat,10 m²/L/strat,"1 strat OSKAR ZeroMucegai;
2 straturi finisaj OSKAR Baie ?i Buc?t?rie","Efectul anti-bacterian ?i anti-mucegai este avizat de Ministerul S?n?t??ii-Institutul Na?ional De S?n?tate Public? Bucure?ti;
Efectul anti-bacterian actioneaza atât la nivelul peretelui cât ?i al aerului, protejând împotriva a 650 de organisme patogene: germeni, viru?i ?i fungi, precum Staphilococus Aureus, Salmonella Typhi, Aspergillus Niger ?i E-coli;
Baia ?i buc?t?ria au nevoie de o vopsea special?, rezistent? la umezeal? ?i abur, care s? nu permit? mucegaiului s? se dezvolte;
Este o vopsea superlavabil?, care permite ?tergerea petelor, f?r? ca pelicula s? se deterioreze;",OSKAR Baie ?i Bucatarie: https://www.oskarvopsea.ro/kentico/getmedia/16dbfadc-4ac1-49ae-aebf-33d07ddfba1f/OSKAR-Baie-si-Bucatarie-208.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Baie-si-Bucatarie
,OSKAR Concrete Effect,OSKAR Beton Efect,https://www.oskarvopsea.ro/kentico/getmedia/3bcb8f5a-85aa-4d33-bb8e-ee0b09c583a1/13-Oskar-Beton-Efect.PNG,Efect decorativ tip beton industrial,"Aplicare usoar?
Finisaj mat
Disponibil in 6 nuan?e de gri moderne","Real Grey, Urban Grey, Designer's Grey, Scandinavian Grey, Elegant Grey, Prestige Silver",10L,,"Se recomanda in realizarea de amenaj?ri decorative pentru suprafe?ele interioare gletuite sau tencuite, placi de gips carton, suprafete deja acoperite cu vopsea lavabil?. Este ideal pentru acele zone unde se doreste obtinerea unui efect decorativ modern, tip beton industrial.
Unelte pentru aplicare: mistrie, spatul?, cancioc.",,,"Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amorsa Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Amesteca?i ?i omogeniza?i foarte bine produsul înainte de aplicare. Produsul este preg?tit pentru utilizarea imediat? - nu se dilueaz?. Pentru atingerea efectului necesar aplicarea se face în dou? straturi. Dac? ins? sunte?i mul?umit cu efectul obtinut dup? primul strat, aplicarea într-un singur strat poate fi considerat? suficient? ?i final?.Pentru colorare se recomand? pigmentarea produsului înainte de aplicare.
Aplica?i primul strat cu ajutorul mistriei din o?el inoxidabil cu margini rotunjite (mistrie vene?ian?), prin tehnica mi?c?rilor arcuite, care creeaz? textura caracteristic? modelelor neregulate. Suprafa?a astfel creat? va fi baza pentru efectul dorit. L?sa?i aprox. 6 ore (la o temperatur? standard ?i la o grosime minim? aplicat?) s? se usuce primul strat, înainte de aplicarea celui de al doilea strat.
Gradual, cu acela?i tip de mistrie, aplica?i stratul doi cât mai sub?ire (grosime corespunz?toare acoperirii suprafe?ei primului strat). La aplicarea celui de al doilea strat, materialul aplicat este în mod continuu ""tras"", ceea ce duce la crearea efectului final. Efectua?i ""tragerea"" în diverse sensuri, pentru a nu se crea un model repetitiv. Prin a?ezarea concomitent? a mistriei cu un unghi diferit fa?? de suprafa?? ob?ine?i un aspect final mai neted sau dimpotriv? mai industrial.
Pentru a ob?ine o suprafa?? finisat? mai neted?, mai trece?i o dat?, final, cu mistria peste suprafa?a în uscare, pentru a netezi suprafa?a ?i a îndep?rta eventualul surplus de material.",,,"0,6-0,75 L/m²",1.2-1.7 m²/L,"1 strat OSKAR  Amors? ZeroMucegai
1-2 straturi finisaj OSKAR Beton Efect (in func?ie de tehnica de aplicare)","Cu Oskar Beton Efect este foarte u?or s? creezi un finisaj cu aspect de beton industrial nefinisat. Produsul se aplic? rapid, iar rezultatele sunt spectaculoase;
Pentru un rezultat personalizat, produsul este disponibil pentru colorarea computerizat? în 6 nuan?e de gri;
Oskar Beton Efect se poate aplic? în 3 moduri diferite, în scopul ob?inerii de aspecte diferite -striat,industrialsaucofraj;
Oskar Beton Efect este ideal pentru a fi utlizat in spa?iile de locuit cu design contemporan, precum apartamente tip loft, case moderne sau alte spa?ii urbane unde se pune accent pe design. De asemenea, produsul este recomandat ?i pentru decorarea diverselor spa?ii comerciale precum showroom-uri, restaurante sau hoteluri avangardiste.",OSKAR Beton Efect: https://www.oskarvopsea.ro/kentico/getmedia/a9b92707-1d1a-4ff9-82e3-7ff045766662/OSKAR-Beton-Efect.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Beton-Efect
,OSKAR Blackboard Effect,OSKAR Blackboard Effect,https://www.oskarvopsea.ro/kentico/getmedia/328d4f53-b9c7-4f29-87e9-ea0494c111c9/OSR826_OSK-Blacboard-Effect-1L_5946062024781_1.png,Efect de tabl? neagr? de scris!,"se spal? cu ap? ?i s?pun
aplicare u?oar?",,1L,,,,,"Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Zero Mucegai. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Amesteca?i ?i omogeniza?i foarte bine produsul înainte de aplicare. Pentru atingerea efectului de tabl? de scris, aplicarea se face în 1-2 straturi.
Al doilea strat se aplic? la 6 ore dup? primul strat. Suprafa?a poate fi folosit? ca tabl? de scris la o s?pt?mân? de la aplicarea produsului.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.
Uneltele se cur??? cu ap? ?i s?pun.",Suprafa?a poate fi folosit? ca tabl? de scris la o s?pt?mân? de la aplicarea produsului.,"La temperaturi cuprinse între +5° si +35° Celsius, ferit de razele directe ale soarelui ?i de înghe?, în recipiente bine închise.",0.6 - 0.75 L/m²/strat,8 - 10 m²/L/strat,,,OSKAR Blackboard Effect: https://www.oskarvopsea.ro/kentico/getmedia/caea6be4-0dc0-423b-bb57-de22d6961772/OSKAR-Blackboard-Effect.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Blackboard-Effect
