"name","rgb","hex","family_name_ro"
"Trezire de dimineață","rgb(253, 215, 169)","#FDD7A9","Bej"
"Ceaiul de după masă","rgb(241, 220, 185)","#F1DCB9","Bej"
"Fursecuri daneze","rgb(255, 243, 213)","#FFF3D5","Alb Murdar"
"Pătură moale","rgb(205, 181, 164)","#CDB5A4","Neutru"
"Ploaie slabă","rgb(226, 217, 207)","#E2D9CF","Bej"
"Fulgi de zăpadă","rgb(255, 254, 250)","#FFFEFA","Alb Murdar"
"Cacao caldă","rgb(171, 146, 124)","#AB927C","Neutru"
"Mâţişor","rgb(217, 207, 189)","#D9CFBD","Bej"
"Somn de iarnă","rgb(252, 248, 233)","#FCF8E9","Alb Murdar"
"Magnolie","rgb(241, 197, 173)","#F1C5AD","Portocaliu"
"Îmbrățișare","rgb(255, 236, 208)","#FFECD0","Alb Murdar"
"Rouă","rgb(249, 241, 224)","#F9F1E0","Alb Murdar"
"Junglă urbană","rgb(1, 62, 46)","#013E2E","Verde"
"Verde minimalist","rgb(157, 171, 144)","#9DAB90","Verde"
"Gri argintiu","rgb(236, 233, 223)","#ECE9DF","Gri și Negru"
"Indigo","rgb(6, 59, 96)","#063B60","Albastru"
"Albastru oțel","rgb(55, 87, 110)","#37576E","Albastru"
"Manhattan","rgb(162, 175, 162)","#A2AFA2","Verde"
"Bachelită","rgb(34, 32, 31)","#22201F","Gri și Negru"
"Beton armat","rgb(160, 163, 165)","#A0A3A5","Gri și Negru"
"Aluminiu","rgb(227, 226, 221)","#E3E2DD","Gri și Negru"
"Carbon","rgb(78, 80, 85)","#4E5055","Gri și Negru"
"Granit","rgb(168, 176, 183)","#A8B0B7","Gri și Negru"
"Titan","rgb(227, 227, 222)","#E3E3DE","Gri și Negru"
"Aloha","rgb(221, 222, 57)","#DDDE39","Galben"
"Albastru azur","rgb(26, 165, 179)","#1AA5B3","Turcoaz"
"Apus de soare","rgb(255, 231, 139)","#FFE78B","Galben"
"Lagună verde","rgb(228, 233, 164)","#E4E9A4","Verde"
"Valuri în Caraibe","rgb(171, 212, 202)","#ABD4CA","Turcoaz"
"Nisip plajă","rgb(255, 244, 197)","#FFF4C5","Bej"
"Vale cețoasă","rgb(196, 197, 197)","#C4C5C5","Gri și Negru"
"Trandafir sălbatic","rgb(250, 217, 219)","#FAD9DB","Roșu"
"Stâncă","rgb(145, 158, 160)","#919EA0","Gri și Negru"
"Apus pastel","rgb(252, 225, 207)","#FCE1CF","Portocaliu"
"Gri bazalt","rgb(115, 127, 128)","#737F80","Gri și Negru"
"Maro căpriu","rgb(192, 164, 146)","#C0A492","Neutru"
"Primroză","rgb(194, 184, 117)","#C2B875","Galben"
"Pârâiaș","rgb(135, 178, 205)","#87B2CD","Albastru"
"Vâsc","rgb(171, 163, 116)","#ABA374","Verde"
"Verdeață","rgb(101, 173, 149)","#65AD95","Verde"
"Alb","rgb(255,255,255)","#FFFFFF","Alb Murdar"
